客户ID,姓名,电话,注册日期,消费金额,地区,会员等级
C001,  张三,138-1234-5678,2024/11/20,1580.5,北京,金卡
C002,李四  ,13912345679,2024-11-19,2300.00万,上海,银卡
C003,王五,139 1234 5680,20241118,850,广州,普通
C004,赵六,138-1234-5681,2024.11.17,1200.50,深圳,金卡
C005,  钱七  ,13912345682,2024年11月16日,3500,北京,白金卡
C006,孙八,138 1234 5683,2024/11/15,980.5,上海,银卡
C007,周九,13912345684,2024-11-14,1.5千,广州,普通
C008,吴十,138-1234-5685,2024.11.13,2200,深圳,金卡
C009,郑一,139 1234 5686,20241112,1650.00,BEIJING,银卡
C010,王二,13812345687,2024/11/11,800万,上海,普通
C011,  李三,138-1234-5688,2024-11-10,1200,guangzhou,金卡
C012,张四  ,13912345689,2024.11.09,2.8k,深圳,白金卡
C013,刘五,138 1234 5690,2024年11月8日,950.50,北京,银卡
C014,陈六,13912345691,2024/11/07,1750,上海,金卡
C015,杨七  ,138-1234-5692,20241106,2100.00,广州,银卡
C016,黄八,139 1234 5693,2024-11-05,1.2万,深圳,白金卡
C017,赵九  ,13812345694,2024.11.04,650,北京,普通
C018,周十,138-1234-5695,2024/11/03,3200.5,SHANGHAI,金卡
C019,吴一,13912345696,2024-11-02,1450,广州,银卡
C020,  郑二  ,138 1234 5697,20241101,2.5千,深圳,金卡
C021,王三,13812345698,2024年11月1日,1850.00,北京,银卡
C022,李四,138-1234-5699,2024/10/31,980,上海,普通
C023,张五  ,13912345700,2024-10-30,2700,GUANGZHOU,金卡
C024,刘六,138 1234 5701,2024.10.29,1.8k,深圳,白金卡
C025,陈七,13912345702,20241028,1150.50,北京,银卡
C026,  杨八,138-1234-5703,2024年10月27日,2400,上海,金卡
C027,黄九  ,139 1234 5704,2024/10/26,3.2万,广州,白金卡
C028,赵十,13812345705,2024-10-25,750,深圳,普通
C029,周一,138-1234-5706,2024.10.24,1950.00,beijing,金卡
C030,吴二  ,13912345707,20241023,2200,上海,银卡
C031,郑三,138 1234 5708,2024/10/22,1.6千,广州,金卡
C032,  王四,13812345709,2024-10-21,2800.5,深圳,白金卡
C033,李五,138-1234-5710,2024年10月20日,920,北京,普通
C034,张六  ,13912345711,2024/10/19,3100,SHANGHAI,金卡
C035,刘七,138 1234 5712,2024.10.18,1.4万,广州,白金卡
C036,陈八,13912345713,20241017,1650.00,深圳,银卡
C037,  杨九  ,138-1234-5714,2024-10-16,2.1k,北京,金卡
C038,黄十,139 1234 5715,2024/10/15,880,上海,普通
C039,赵一,13812345716,2024.10.14,2500,guangzhou,金卡
C040,周二  ,138-1234-5717,2024年10月13日,1750.50,深圳,银卡
