客户ID,客户姓名,联系电话,注册日期,年龄,消费金额,消费类别,会员等级,所在城市,备注
C001,  张三,138-1234-5678,2024/11/20,,1580.5,电子产品,金卡,北京,
C002,李四  ,,2024-11-19,25,2300万,服装,银卡,上海,VIP客户
C003,王五,139 1234 5680,20241118,19,850,,普通,广州,
C004,赵六,138-1234-5681,,28,1200.50,电子产品,金卡,,
C005,,13912345682,2024年11月16日,500,3500,家电,白金卡,北京,
C006,孙八  ,138 1234 5683,2024/11/15,24,980.5,食品,,上海,
C007,周九,13912345684,2024-11-14,22,1.5千,服装,普通,guangzhou,
C008,  吴十  ,,2024.11.13,,2200,电子产品,金卡,深圳,
C009,郑一,139 1234 5686,20241112,-5,1650,图书,银卡,BEIJING,
C010,王二,13812345687,2024/11/11,26,,家电,普通,上海,
C011,李三  ,138-1234-5688,,23,1200,电子产品,,guangzhou,
C012,,13912345689,2024.11.09,27,2.8k,服装,白金卡,深圳,
C013,刘五,138 1234 5690,2024年11月8日,21,950.50,食品,银卡,,
C014,陈六,13912345691,2024/11/07,,1750,,金卡,上海,
C015,  杨七,138-1234-5692,20241106,24,2100,电子产品,银卡,广州,
C016,黄八  ,,2024-11-05,29,1.2万,家电,白金卡,SHENZHEN,
C017,赵九,13812345694,2024.11.04,20,650,服装,,北京,
C018,周十,138-1234-5695,,25,3200.5,电子产品,金卡,,
C019,,13912345696,2024-11-02,22,1450,图书,银卡,广州,
C020,郑二  ,138 1234 5697,20241101,,2.5千,食品,金卡,深圳,
C021,王三,13812345698,2024年11月1日,26,1850,家电,银卡,Beijing,
C022,  李四,138-1234-5699,2024/10/31,23,,服装,普通,,
C023,张五,13912345700,,24,2700,电子产品,金卡,guangzhou,
C024,刘六  ,,2024.10.29,28,1.8k,,白金卡,深圳,
C025,陈七,13912345702,20241028,21,1150.50,图书,银卡,北京,
C026,杨八,138-1234-5703,2024年10月27日,,2400,食品,,Shanghai,
C027,,139 1234 5704,2024/10/26,27,3.2万,家电,白金卡,广州,
C028,赵十  ,13812345705,2024-10-25,20,750,服装,普通,,
C029,周一,138-1234-5706,,25,1950,电子产品,金卡,北京,
C030,吴二,13912345707,20241023,22,,图书,银卡,上海,
C031,  郑三  ,138 1234 5708,2024/10/22,26,1.6千,食品,金卡,,
C032,王四,,2024-10-21,23,2800.5,家电,,深圳,
C033,李五,138-1234-5710,2024年10月20日,,920,服装,普通,BEIJING,
C034,张六  ,13912345711,2024/10/19,28,3100,电子产品,金卡,上海,
C035,刘七,,2024.10.18,1000,1.4万,,白金卡,guangzhou,
C036,陈八,13912345713,20241017,21,1650,图书,银卡,深圳,
C037,杨九,138-1234-5714,2024-10-16,,2.1k,食品,金卡,,
C038,  黄十  ,139 1234 5715,,24,880,家电,普通,上海,
C039,赵一,13812345716,2024.10.14,22,,服装,金卡,guangzhou,
C040,周二,138-1234-5717,2024年10月13日,26,1750.50,,银卡,深圳,
C001,  张三,138-1234-5678,2024/11/20,27,1580.5,电子产品,金卡,北京,重复记录
C041,吴三  ,13912345718,2024/10/12,23,2300,图书,金卡,Beijing,
C042,郑四,,20241011,,1850,食品,银卡,,
C043,王五,138 1234 5720,2024-10-10,24,2.5千,家电,金卡,上海,
C044,  李六,13812345721,,28,1650,服装,,guangzhou,
C045,张七,138-1234-5722,2024/10/08,21,3100,电子产品,白金卡,深圳,
C046,刘八  ,13912345723,2024.10.07,,950,图书,银卡,,
C047,陈九,138 1234 5724,20241006,25,2700,食品,金卡,北京,
C048,杨十,,2024-10-05,22,,家电,银卡,Shanghai,
C049,  黄一,13812345726,2024年10月4日,26,1200,服装,普通,广州,
C050,赵二  ,138-1234-5727,2024/10/03,,2.1k,电子产品,,SHENZHEN,
C051,周三,13912345728,2024-10-02,23,1750,图书,金卡,北京,
C052,吴四,138 1234 5729,,24,2400,食品,银卡,,
C053,  郑五  ,,20241001,27,3.2万,家电,白金卡,上海,
C054,王六,13812345731,2024/09/30,21,,服装,普通,guangzhou,
C055,李七,138-1234-5732,2024.09.29,,1450,电子产品,金卡,,
C056,张八  ,13912345733,2024年9月28日,25,2800,图书,,深圳,
C057,刘九,138 1234 5734,2024/09/27,22,1.8k,食品,白金卡,Beijing,
C058,,13812345735,20240926,,650,家电,普通,上海,
C059,陈十,138-1234-5736,2024-09-25,26,3500,服装,金卡,,
C060,杨一  ,13912345737,,23,1950,电子产品,银卡,广州,
C006,孙八  ,138 1234 5683,2024/11/15,24,980.5,食品,银卡,上海,重复
